X,Y,Au,Au_2,Ag,Al,As,Ba,Be,Ca,Cd,Ce,Co,Cr,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Si,Sr,Th,Ti,U,V,Y,Yb,Zn,Zr
673563,4161980,5,0,0.28,83937,8.2,466,1.3,56089,0.24,57,13,64,43,32627,18903,29,19,10197,669,0.71,21605,39,600,17,211,1,10.2,0,468,10,3831,3.75,88,17,1.5,62,77
674094,4161170,5,0,0.25,82649,8.7,468,1.4,48463,0.23,61,16,86,42,47729,19834,32,20,11091,731,0.59,19723,43,738,19,215,0.97,11.2,0,411,10.2,5584,3.75,141,18,1.8,86,84
675100,4164102,5,0,0.24,73505,12.6,493,1.5,72178,0.24,60,16,72,49,47522,23108,32,21,10147,704,0.65,14435,40,744,23,371,1.16,10.1,0,315,10.3,5066,5.6,143,17,1.8,84,89
674674,4162340,6,1,0.32,73808,9.9,485,1.4,57636,0.26,61,19,78,46,63637,21751,33,18,10183,769,0.7,17435,35,791,23,298,1.08,10,0,368,10.6,6358,10,197,17,1.9,104,83
674575,4162303,5,0,0.31,79902,8.7,468,1.3,67284,0.23,55,15,59,40,40395,18005,29,20,10948,608,0.62,18467,36,608,13,219,1.13,10.2,0,415,9.4,4646,3.75,119,15,1.5,73,76
674180,4161250,5,0,0.29,46302,3.2,273,0.75,28391,0.17,60,59,207,76,13333.33,11606,39,11,8677,1750,0.375,9402,56,785,71,194,11.3,9.2,0,213,8.3,10685,25.3,761,11,3.3,419,43
674405,4160911,5,0,0.36,83812,5.8,484,1.3,48194,0.22,56,16,64,36,46256,19814,29,17,9912,719,0.62,21501,35,678,17,192,1.16,10.5,0,456,9.7,5286,3.75,136,17,1.7,79,77
675214,4161880,5,0,0.28,75197,9.1,576,1.5,50198,0.25,53,15,54,47,39542,24243,28,18,10197,711,0.73,18666,34,860,17,295,1.13,9.5,0,365,11.1,4894,3.75,113,16,1.6,70,69
675634,4161667,13,1,0.24,73888,8.6,489,1.3,63303,0.25,63,23,99,49,76293,21422,36,18,10033,891,0.57,16435,42,726,30,244,1.26,10.8,0,381,11.1,6343,8.1,196,16,1.9,125,53
675068,4160504,5,0,0.23,81916,10.7,549,1.5,41470,0.2,62,19,80,52,63905,24245,35,17,10253,830,0.75,20179,35,901,24,240,1.1,11.4,0,431,11.7,7383,3.75,204,18,1.9,102,79
